id,loan_amnt_EUR,loan_amnt_USD,funded_amnt_EUR,funded_amnt_USD,int_rate,installment_EUR,installment_USD,total_pymnt_EUR,total_pymnt_USD,exch_rate,issue_date,loan_status,term,sub_grade,verification_status,addr_state
48010226.0,35000.0,31933.300588066133,35000.0,31933.300588066133,13.33,1184.86,1081.0425867078868,9452.96,8624.69180362759,1.0960345268249512,May,OK,36,13,OK,California
57693261.0,30000.0,27132.459992858894,30000.0,27132.459992858894,16.617294794794955,938.57,848.8570991832524,4679.7,4232.392434286058,1.1056866943836212,red_flag,OK,36,5,OK,New York
59432726.0,15000.0,13326.299635729729,15000.0,13326.299635729729,16.617294794794955,494.86,439.64350918248095,1969.83,1750.0363207632995,1.1255937814712524,Sep,OK,36,10,OK,Pennsylvania
53222800.0,9600.0,8775.74352670075,9600.0,8775.74352670075,16.617294794794955,300.35,274.5619341921427,1793.68,1639.674546767979,1.0939244031906128,Jul,OK,36,5,red_flag,Ohio
57803010.0,8075.0,7120.777207208826,8075.0,7120.777207208826,19.19,296.78,261.70950582729847,1178.51,1039.2454670548204,1.1340054273605347,Aug,OK,36,23,OK,Texas
63398019.0,14400.0,13080.24045492174,14400.0,13080.24045492174,13.99,334.99,304.2881770829329,681.17,618.7407910193779,1.100897192955017,Oct,OK,60,14,red_flag,Alabama
60850626.0,15273.463157894737,13569.249767825606,13000.0,11549.4596842991,24.99,381.5,338.9322207353928,1126.45,1000.7606816445169,1.1255937814712524,Sep,OK,60,29,OK,California
46816139.0,7500.0,6748.049980645408,7500.0,6748.049980645408,13.33,253.9,228.44398534478256,2025.65,1822.558325772583,1.1114321947097778,Apr,OK,36,13,red_flag,Georgia
63918356.0,8000.0,7559.280302880967,8000.0,7559.280302880967,16.617294794794955,250.29,236.50153337600963,497.07,469.6864325191303,1.0583018064498901,Nov,OK,36,5,OK,Massachusetts
63651616.0,7200.0,6803.352272592871,7200.0,6803.352272592871,16.617294794794955,241.18,227.89340293110396,512.57,484.3325381059622,1.0583018064498901,Nov,OK,36,12,red_flag,Texas
56069330.0,15273.463157894737,13962.082858145533,6200.0,5667.667694327567,15.61,216.79,198.17639991181827,1073.2,981.0549950890879,1.0939244031906128,Jul,OK,36,16,OK,Virginia
39641145.0,21000.0,18603.901162770435,21000.0,18603.901162770435,16.617294794794955,701.42,621.38801683764,5582.45,4945.492764100372,1.1287955045700073,Jan,red_flag,36,11,red_flag,Indiana
52311217.0,15000.0,13365.449725620258,15000.0,13365.449725620258,13.33,343.84,306.3717489104846,15643.5,13938.827518849368,1.122296690940857,Jun,red_flag,60,13,red_flag,Colorado
65775524.0,10000.0,9449.100378601208,10000.0,9449.100378601208,13.18,228.46,215.87414724952322,217.48,205.49903503381907,1.0583018064498901,Nov,OK,60,13,red_flag,Oklahoma
57336468.0,21000.0,18518.429888716455,21000.0,18518.429888716455,16.617294794794955,700.42,617.6513648883227,3487.76,3075.6113823176047,1.1340054273605347,Aug,red_flag,36,11,red_flag,California
41480201.0,12725.0,11749.50204560912,12725.0,11749.50204560912,17.86,322.17,297.47246161366525,14262.61,13169.238928937139,1.0830246210098267,Mar,OK,60,20,OK,North Carolina
58390667.0,22900.0,20193.90687864794,22900.0,20193.90687864794,19.99,606.59,534.9092564855483,2982.09,2629.6964088972595,1.1340054273605347,Aug,OK,60,24,red_flag,Oregon
57155656.0,4000.0,3617.6613323811857,4000.0,3617.6613323811857,16.617294794794955,131.97,119.35569150858626,672.29,608.0293842866369,1.1056866943836212,red_flag,OK,36,10,OK,Maryland
49218915.0,16875.0,15036.13094132279,16875.0,15036.13094132279,19.19,439.52,391.62549756030774,2736.06,2437.9114917520374,1.122296690940857,Jun,OK,60,23,OK,Texas
50364957.0,14400.0,12830.831736595448,14400.0,12830.831736595448,16.617294794794955,446.35,397.7112323353735,3118.64,2778.8017421538907,1.122296690940857,Jun,OK,36,4,red_flag,Texas
65985055.0,12000.0,10974.959682026602,12000.0,10974.959682026602,16.617294794794955,371.96,340.1871669438845,0.0,0.0,1.093398094177246,Dec,OK,36,4,red_flag,Nevada
61772655.0,20150.0,18303.25313657452,20150.0,18303.25313657452,16.617294794794955,642.37,583.4968097936165,1274.47,1157.6648647627856,1.100897192955017,Oct,OK,36,7,OK,South Carolina
